Month,Year,Quarter,District,Street,Control Number,Connection Type,Service Address,Previous Reading,Present Reading,Cleaned Previous Reading,Cleaned Present Reading,Cleaned Consumption,Record Status,Connection Status
NOV,2022,Q4,District 2,Fabmar Street,500331,Residential,"Fabmar St, Dist. 2",5906.0,5990.0,5906.0,5990.0,84,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501573,Residential,"Fabmar St, Dist. 2",494.0,513.0,494.0,513.0,19,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501759,Residential,"Fabmar St, Dist. 2",2918.0,2931.0,2918.0,2931.0,13,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501538,Residential,"Fabmar St, Dist. 2",546.0,588.0,546.0,588.0,42,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,500892,Residential,"Fabmar St, Dist. 2",692.0,,692.0,692.0,0,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501660,Residential,"Fabmar St, Dist. 2",337.0,346.0,337.0,346.0,9,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,500866,Residential,"Fabmar St, Dist. 2",1140.0,1144.0,1140.0,1144.0,4,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501574,Residential,"Fabmar St, Dist. 2",742.0,750.0,742.0,750.0,8,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501772,Residential,"Fabmar St, Dist. 2",1538.0,,1538.0,1538.0,0,Corrected,Defect
NOV,2022,Q4,District 2,Fabmar Street,501495,Residential,"Fabmar St, Dist. 2",1375.0,1451.0,1375.0,1451.0,76,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501716,Residential,"Fabmar St, Dist. 2",394.0,,394.0,394.0,0,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,500396,Residential,"Fabmar St, Dist. 2",,,,,0,Corrected,Disconnected
NOV,2022,Q4,District 2,Fabmar Street,501595,Residential,"Fabmar St, Dist. 2",,4876.0,4876.0,4876.0,0,Corrected,Defect
NOV,2022,Q4,District 2,Fabmar Street,501249,Residential,"Fabmar St, Dist. 2",428.0,452.0,428.0,452.0,24,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501355,Residential,"Fabmar St, Dist. 2",6.0,18.0,6.0,18.0,12,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,500881,Residential,"Fabmar St, Dist. 2",74.0,,74.0,74.0,0,Corrected,Defect
NOV,2022,Q4,District 2,Fabmar Street,500779,Residential,"Fabmar St, Dist. 2",241.0,292.0,241.0,292.0,51,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501712,Residential,"Fabmar St, Dist. 2",949.0,981.0,949.0,981.0,32,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501370,Residential,"Fabmar St, Dist. 2",2317.0,,2317.0,2317.0,0,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501866,Residential,"Fabmar St, Dist. 2",346.0,386.0,346.0,386.0,40,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501991,Residential,"Fabmar St, Dist. 2",,,,,0,Corrected,Unknown
NOV,2022,Q4,District 2,Fabmar Street,501983,Residential,"Fabmar St, Dist. 2",,29.0,29.0,29.0,0,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501665,Residential,"Fabmar St, Dist. 2",,,,,0,Corrected,Defect
NOV,2022,Q4,District 2,Fabmar Street,501702,Residential,"Fabmar St, Dist. 2",122.0,143.0,122.0,143.0,21,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501037,Residential,"Fabmar St, Dist. 2",1402.0,1469.0,1402.0,1469.0,67,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501281,Residential,"Fabmar St, Dist. 2",226.0,,226.0,226.0,0,Corrected,Defect
NOV,2022,Q4,District 2,Fabmar Street,500354,Residential,"Fabmar St, Dist. 2",2301.0,2365.0,2301.0,2365.0,64,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501555,Residential,"Fabmar St, Dist. 2",352.0,356.0,352.0,356.0,4,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501096,Residential,"Fabmar St, Dist. 2",1877.0,2203.0,1877.0,2203.0,326,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501616,Residential,"Fabmar St, Dist. 2",86.0,,86.0,86.0,0,Corrected,Defect
NOV,2022,Q4,District 2,Fabmar Street,501173,Residential,"Fabmar St, Dist. 2",1943.0,1996.0,1943.0,1996.0,53,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,500931,Commercial,"Fabmar St, Dist. 2",1863.0,1880.0,1863.0,1880.0,17,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501592,Residential,"Fabmar St, Dist. 2",55.0,72.0,55.0,72.0,17,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501572,Residential,"Fabmar St, Dist. 2",786.0,817.0,786.0,817.0,31,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501564,Residential,"Fabmar St, Dist. 2",778.0,782.0,778.0,782.0,4,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501769,Commercial,"Fabmar St, Dist. 2",3536.0,3582.0,3536.0,3582.0,46,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501977,Residential,"Fabmar St, Dist. 2",,54.0,54.0,54.0,0,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501767,Residential,"Fabmar St, Dist. 2",453.0,462.0,453.0,462.0,9,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501615,Residential,"Fabmar St, Dist. 2",,,,,0,Corrected,Unknown
NOV,2022,Q4,District 2,Fabmar Street,501138,Residential,"Fabmar St, Dist. 2",1163.0,1182.0,1163.0,1182.0,19,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501768,Residential,"Fabmar St, Dist. 2",188.0,206.0,188.0,206.0,18,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,500318,Commercial,"Fabmar St, Dist. 2",3936.0,3966.0,3936.0,3966.0,30,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501445,Commercial,"Fabmar St, Dist. 2",4022.0,4076.0,4022.0,4076.0,54,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501730,Residential,"Fabmar St, Dist. 2",254.0,264.0,254.0,264.0,10,Corrected,Active
NOV,2022,Q4,District 2,Fabmar Street,501911,Residential,"Fabmar St, Dist. 2",136.0,235.0,136.0,235.0,99,Corrected,Active
