Month,Year,Quarter,District,Street,Control Number,Connection Type,Service Address,Previous Reading,Present Reading,Cleaned Previous Reading,Cleaned Present Reading,Cleaned Consumption,Record Status,Connection Status
MAY,2024,Q2,,Gutierrez Street,500283,Residential,Gutierrez St.,3133,3139,3133.0,3139.0,6,Corrected,Active
MAY,2024,Q2,District 1,Gutierrez Street,501353,Residential,"Gutierrez St, Dist. 1",9129,9145,9129.0,9145.0,16,Corrected,Active
MAY,2024,Q2,,Gutierrez Street,500981,Residential,Gutierrez St.,1964,1984,1964.0,1984.0,20,Corrected,Active
MAY,2024,Q2,,Gutierrez Street,501637,Residential,Gutierrez St.,169,171,169.0,171.0,2,Corrected,Active
MAY,2024,Q2,District 1,Gutierrez Street,501798,Residential,"Gutierrez St, Dist. 1",409,416,409.0,416.0,7,Corrected,Active
MAY,2024,Q2,District 1,Gutierrez Street,500269,Residential,"Gutierrez St, Dist. 1",2275,2297,2275.0,2297.0,22,Corrected,Active
MAY,2024,Q2,,Gutierrez Street,500562,Residential,Gutierrez St.,,,,,0,Corrected,Disconnected
MAY,2024,Q2,,Gutierrez Street,500804,Residential,Gutierrez St.,,,,,0,Corrected,Disconnected
MAY,2024,Q2,,Gutierrez Street,500336,Residential,Gutierrez St.,,,,,0,Corrected,Disconnected
MAY,2024,Q2,,Gutierrez Street,500382,Residential,Gutierrez St.,1050,1057,1050.0,1057.0,7,Corrected,Active
MAY,2024,Q2,,Gutierrez Street,501739,Residential,Gutierrez St.,2537,2548,2537.0,2548.0,11,Corrected,Active
MAY,2024,Q2,,Gutierrez Street,500282,Residential,Gutierrez St.,1271,1291,1271.0,1291.0,20,Corrected,Active
MAY,2024,Q2,,Gutierrez Street,500384,Residential,Gutierrez St.,4420,4422,4420.0,4422.0,2,Corrected,Active
MAY,2024,Q2,,Gutierrez Street,501375,Commercial,Gutierrez St.,935,951,935.0,951.0,16,Corrected,Active
MAY,2024,Q2,,Gutierrez Street,500639,Residential,Gutierrez St.,1924,1930,1924.0,1930.0,6,Corrected,Active
MAY,2024,Q2,District 1,Gutierrez Street,501459,Residential,"Gutierrez St, Dist. 1",5618,5702,5618.0,5702.0,84,Corrected,Active
MAY,2024,Q2,District 1,Gutierrez Street,500575,Industrial,"Gutierrez St, Dist. 1",10984,11061,10984.0,11061.0,77,Corrected,Active
MAY,2024,Q2,District 1,Gutierrez Street,501515,Commercial,"Gutierrez St, Dist. 1",5207,5237,5207.0,5237.0,30,Corrected,Active
MAY,2024,Q2,,Gutierrez Street,500699,Residential,Gutierrez St.,4527,,4527.0,4527.0,0,Corrected,Defect
MAY,2024,Q2,,Gutierrez Street,501543,Residential,Gutierrez St.,,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 2,Balcavem Street,501099,Residential,"Balcavem St, Dist. 2",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 2,Jones Street,500901,Residential,"Jones St, Dist. 2",2270,2320,2270.0,2320.0,50,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,500343,Residential,"Jones St, Dist. 2",3857,3868,3857.0,3868.0,11,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,501979,Commercial,"Jones St, Dist. 2",48,48,48.0,48.0,0,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,500795,Residential,"Jones St, Dist. 2",511,518,511.0,518.0,7,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,500799,Residential,"Jones St, Dist. 2",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 2,Jones Street,500165,Residential,"Jones St, Dist. 2",6270,6301,6270.0,6301.0,31,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,500653,Residential,"Jones St, Dist. 2",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 2,Jones Street,501164,Residential,"Jones St, Dist. 2",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 2,Jones Street,501315,Residential,"Jones St, Dist. 2",2850,2869,2850.0,2869.0,19,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,501312,Residential,"Jones St, Dist. 2",2053,2067,2053.0,2067.0,14,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,501496,Residential,"Jones St, Dist. 2",181,196,181.0,196.0,15,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,501095,Residential,"Jones St, Dist. 2",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 2,Jones Street,501321,Commercial,"Jones St, Dist. 2",1727,1747,1727.0,1747.0,20,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,500949,Residential,"Jones St, Dist. 2",5106, ,,,0,Corrected,Unknown
MAY,2024,Q2,District 2,Jones Street,501873,Residential,"Jones St, Dist. 2",112,115,112.0,115.0,3,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,502120,Residential,"Jones St, Dist. 2",,32,32.0,32.0,0,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,500780,Residential,"Jones St, Dist. 2",1955,1973,1955.0,1973.0,18,Corrected,Active
